date,imports_russia,exports_russia,imports_china,exports_china,imports_usa,exports_usa,oil_price,usd_inr,gdp_india,gdp_russia,gdp_china,gdp_usa,trade_deficit,trade_deficit_next
2011-01,244650464.16,121299481.382,3914854963.814,1274883314.094,1654155567.028,2218181599.073,96.52,45.8380012512207,1.82,2.05,7.67,15.6,2199296600.453,1481540241.7180004
2011-02,224052679.789,139873942.324,3365377923.314,1281265121.995,1608560199.735,2295311496.801,103.72,45.25,1.82,2.05,7.67,15.6,1481540241.7180004,338088129.7390003
2011-03,215818670.903,307205318.61,3131302847.541,1044168146.793,1340220870.609,2997880793.911,114.64,44.61000061035156,1.82,2.05,7.67,15.6,338088129.7390003,1589569344.1849997
2011-04,265277846.403,120643175.138,3374249990.166,923628565.09,1503760248.022,2509447000.178,123.26,44.29999923706055,1.82,2.05,7.67,15.6,1589569344.1849997,3439358404.414999
2011-05,344913905.459,129395681.937,4956227111.813,960882007.41,2207474566.712,2978979490.222,114.99,45.08300018310547,1.82,2.05,7.67,15.6,3439358404.414999,3319808158.628
2011-06,367603236.394,152874627.472,4608294247.452,909102417.627,2163040179.818,2757152459.937,113.83,44.7599983215332,1.82,2.05,7.67,15.6,3319808158.628,1991669245.9589996
2011-07,307452641.801,150239868.231,4674630190.485,1151042121.568,1989467832.625,3678599429.153,116.97,44.0099983215332,1.82,2.05,7.67,15.6,1991669245.9589996,2417716487.7580004
2011-08,314187267.382,145225471.699,4992247510.072,2281045764.983,2246591722.392,2709038775.406,110.22,45.939998626708984,1.82,2.05,7.67,15.6,2417716487.7580004,2594817994.858
2011-09,363118940.247,154047179.315,4955599051.742,1727419698.165,1883217538.991,2725650658.642,112.83,48.86000061035156,1.82,2.05,7.67,15.6,2594817994.858,3050129503.5290003
2011-10,476992906.916,143177775.223,5154880983.573,1382595513.855,1781050142.988,2837021240.87,109.55,48.62799835205078,1.82,2.05,7.67,15.6,3050129503.5290003,2943479006.8859997
2011-11,418185503.018,178367907.455,4873038974.764,1866860209.089,2146759210.602,2449276564.954,110.77,51.90299987792969,1.82,2.05,7.67,15.6,2943479006.8859997,3157630790.148
2011-12,572626458.519,149958754.852,5337839667.929,1743295408.732,2089984221.082,2949565393.798,107.87,53.0,1.82,2.05,7.67,15.6,3157630790.148,1794250591.8880005
2012-01,411961437.253,144303999.505,4514772334.532,2005797525.569,1990402415.093,2972784069.916,110.69,52.49300003051758,1.83,2.21,8.67,16.25,1794250591.8880005,1675500153.7819996
2012-02,567886796.608,148316485.67,4069331176.135,1725334353.293,1800487194.313,2888554174.311,119.33,49.06800079345703,1.83,2.21,8.67,16.25,1675500153.7819996,1247995194.6149998
2012-03,338931535.957,161792629.063,3994226618.667,1400217987.233,1870284064.537,3393436408.25,125.45,50.86800003051758,1.83,2.21,8.67,16.25,1247995194.6149998,1582010946.8200006
2012-04,380129501.269,170893974.99,4153900154.672,1405456427.944,1676321970.256,3051990276.443,119.75,52.53799819946289,1.83,2.21,8.67,16.25,1582010946.8200006,2373086073.5270004
